be_trigger_mult	partial_frac	lock_atr_mult	result_line	diag3_line	reasons_line
0.6	0.25	0.0	2026-02-10 02:55:52.702 | INFO     | __main__:main:653 - RESULT | trades=61 wins=14 losses=47 winrate=22.95% pnl_total=-1.238100269008236821560153563 max_dd=1.253785168795649049366291041 pf=0.2804481572960063897541299311 avg_win=0.03446817453230190907224529114 avg_loss=0.03660967473320135209726782211 expectancy=-0.02029672572144650527147792726 avg_trade_bars=3.89 open_position=False	2026-02-10 02:55:52.701 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=13 pnl=1E-27 avg_pnl=7.692307692307692307692307692E-29 avg_bars=5.46 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=35 pnl=-1.685368307460463548571587636 avg_pnl=-0.04815338021315610138775964674 avg_bars=3.49 | tp: n=12 pnl=0.482554443452226727011434072 avg_pnl=0.04021287028768556058428617267 avg_bars=3.25	2026-02-10 02:55:52.702 | INFO     | __main__:main:670 - REASONS | {'be': 13, 'sl': 35, 'tp': 12, 'signal': 1}
0.6	0.25	0.1	2026-02-10 02:55:58.960 | INFO     | __main__:main:653 - RESULT | trades=61 wins=25 losses=36 winrate=40.98% pnl_total=-1.202176742151644097082305516 max_dd=1.226932863708151518533549930 pf=0.3013259816476589061890669490 avg_win=0.0207391188123527780595712848 avg_loss=0.04779596423501287634921076767 expectancy=-0.01970781544510891962430009043 avg_trade_bars=3.89 open_position=False	2026-02-10 02:55:58.959 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=13 pnl=0.035923526856592724477848048 avg_pnl=0.002763348219737901882911388308 avg_bars=5.46 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=35 pnl=-1.685368307460463548571587636 avg_pnl=-0.04815338021315610138775964674 avg_bars=3.49 | tp: n=12 pnl=0.482554443452226727011434072 avg_pnl=0.04021287028768556058428617267 avg_bars=3.25	2026-02-10 02:55:58.960 | INFO     | __main__:main:670 - REASONS | {'be': 13, 'sl': 35, 'tp': 12, 'signal': 1}
0.6	0.25	0.2	2026-02-10 02:56:16.899 | INFO     | __main__:main:653 - RESULT | trades=61 wins=25 losses=36 winrate=40.98% pnl_total=-1.166411255383740297726642258 max_dd=1.200238598709342912822993611 pf=0.3221118314303916460964605803 avg_win=0.02216972551478298312680035464 avg_loss=0.04779595536814763544157364233 expectancy=-0.01912149598989738192994495505 avg_trade_bars=3.84 open_position=False	2026-02-10 02:56:16.898 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=13 pnl=0.071688776249266019058531164 avg_pnl=0.005514521249943539927579320308 avg_bars=5.23 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=35 pnl=-1.685367988253314875896651124 avg_pnl=-0.04815337109295185359704717497 avg_bars=3.49 | tp: n=12 pnl=0.482554361620308559111477702 avg_pnl=0.04021286346835904659262314183 avg_bars=3.25	2026-02-10 02:56:16.899 | INFO     | __main__:main:670 - REASONS | {'be': 13, 'sl': 35, 'tp': 12, 'signal': 1}
0.6	0.25	0.3	2026-02-10 02:56:27.164 | INFO     | __main__:main:653 - RESULT | trades=61 wins=25 losses=36 winrate=40.98% pnl_total=-1.130566867259107288197376678 max_dd=1.173465432353805096938834969 pf=0.3429436662632196908820285150 avg_win=0.02360350103976830350797097784 avg_loss=0.04779595536814763544157364233 expectancy=-0.01853388306982143095405535538 avg_trade_bars=3.84 open_position=False	2026-02-10 02:56:27.163 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=13 pnl=0.107533164373899028587796744 avg_pnl=0.008271781874915309891368980308 avg_bars=5.23 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=35 pnl=-1.685367988253314875896651124 avg_pnl=-0.04815337109295185359704717497 avg_bars=3.49 | tp: n=12 pnl=0.482554361620308559111477702 avg_pnl=0.04021286346835904659262314183 avg_bars=3.25	2026-02-10 02:56:27.164 | INFO     | __main__:main:670 - REASONS | {'be': 13, 'sl': 35, 'tp': 12, 'signal': 1}
0.6	0.25	0.4	2026-02-10 02:56:33.230 | INFO     | __main__:main:653 - RESULT | trades=61 wins=25 losses=36 winrate=40.98% pnl_total=-1.094722479134474278668111099 max_dd=1.146692265998267281054676328 pf=0.3637755010960477356675964491 avg_win=0.025037276564753623889141601 avg_loss=0.04779595536814763544157364233 expectancy=-0.01794627014974547997816575572 avg_trade_bars=3.84 open_position=False	2026-02-10 02:56:33.229 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=13 pnl=0.143377552498532038117062323 avg_pnl=0.01102904249988707985515864023 avg_bars=5.23 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=35 pnl=-1.685367988253314875896651124 avg_pnl=-0.04815337109295185359704717497 avg_bars=3.49 | tp: n=12 pnl=0.482554361620308559111477702 avg_pnl=0.04021286346835904659262314183 avg_bars=3.25	2026-02-10 02:56:33.230 | INFO     | __main__:main:670 - REASONS | {'be': 13, 'sl': 35, 'tp': 12, 'signal': 1}
0.6	0.33	0.0	2026-02-10 02:56:41.941 | INFO     | __main__:main:653 - RESULT | trades=61 wins=14 losses=47 winrate=22.95% pnl_total=-1.238100269008236821560153564 max_dd=1.253785168795649049366291040 pf=0.2804481572960063897541299301 avg_win=0.034468174532301909072245291 avg_loss=0.03660967473320135209726782209 expectancy=-0.02029672572144650527147792728 avg_trade_bars=3.89 open_position=False	2026-02-10 02:56:41.940 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=13 pnl=0E-27 avg_pnl=0E-27 avg_bars=5.46 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=35 pnl=-1.685368307460463548571587636 avg_pnl=-0.04815338021315610138775964674 avg_bars=3.49 | tp: n=12 pnl=0.482554443452226727011434072 avg_pnl=0.04021287028768556058428617267 avg_bars=3.25	2026-02-10 02:56:41.941 | INFO     | __main__:main:670 - REASONS | {'be': 13, 'sl': 35, 'tp': 12, 'signal': 1}
0.6	0.33	0.1	2026-02-10 02:56:48.595 | INFO     | __main__:main:653 - RESULT | trades=61 wins=25 losses=36 winrate=40.98% pnl_total=-1.205708960291861227514118286 max_dd=1.229739384106841033473754145 pf=0.2992731478544301603052995445 avg_win=0.020597830086744092842298774 avg_loss=0.04779596423501287634921076767 expectancy=-0.01976572066052231520514948010 avg_trade_bars=3.89 open_position=False	2026-02-10 02:56:48.594 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=13 pnl=0.032391308716375594046035278 avg_pnl=0.002491639132028891849695021385 avg_bars=5.46 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=35 pnl=-1.685368307460463548571587636 avg_pnl=-0.04815338021315610138775964674 avg_bars=3.49 | tp: n=12 pnl=0.482554443452226727011434072 avg_pnl=0.04021287028768556058428617267 avg_bars=3.25	2026-02-10 02:56:48.595 | INFO     | __main__:main:670 - REASONS | {'be': 13, 'sl': 35, 'tp': 12, 'signal': 1}
0.6	0.33	0.2	2026-02-10 02:56:55.343 | INFO     | __main__:main:653 - RESULT | trades=61 wins=25 losses=36 winrate=40.98% pnl_total=-1.173455907008103804084700646 max_dd=1.205831854850651188197834889 pf=0.3180176614146199825369363413 avg_win=0.02188793944980844287247801912 avg_loss=0.04779595536814763544157364233 expectancy=-0.01923698208210006236204427289 avg_trade_bars=3.84 open_position=False	2026-02-10 02:56:55.342 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=13 pnl=0.064644124624902512700472776 avg_pnl=0.004972624971146347130805598154 avg_bars=5.23 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=35 pnl=-1.685367988253314875896651124 avg_pnl=-0.04815337109295185359704717497 avg_bars=3.49 | tp: n=12 pnl=0.482554361620308559111477702 avg_pnl=0.04021286346835904659262314183 avg_bars=3.25	2026-02-10 02:56:55.343 | INFO     | __main__:main:670 - REASONS | {'be': 13, 'sl': 35, 'tp': 12, 'signal': 1}
0.6	0.33	0.3	2026-02-10 02:57:03.227 | INFO     | __main__:main:653 - RESULT | trades=61 wins=25 losses=36 winrate=40.98% pnl_total=-1.141133844695652547734464259 max_dd=1.181855316565767510001096884 pf=0.3368024112395621955427421570 avg_win=0.0231808219423064931264874746 avg_loss=0.04779595536814763544157364233 expectancy=-0.01870711220812545160220433211 avg_trade_bars=3.84 open_position=False	2026-02-10 02:57:03.226 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=13 pnl=0.096966186937353769050709163 avg_pnl=0.007458937456719520696208397154 avg_bars=5.23 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=35 pnl=-1.685367988253314875896651124 avg_pnl=-0.04815337109295185359704717497 avg_bars=3.49 | tp: n=12 pnl=0.482554361620308559111477702 avg_pnl=0.04021286346835904659262314183 avg_bars=3.25	2026-02-10 02:57:03.227 | INFO     | __main__:main:670 - REASONS | {'be': 13, 'sl': 35, 'tp': 12, 'signal': 1}
0.6	0.33	0.4	2026-02-10 02:57:10.579 | INFO     | __main__:main:653 - RESULT | trades=61 wins=25 losses=36 winrate=40.98% pnl_total=-1.108811782383201291384227874 max_dd=1.157878778280883831804358883 pf=0.3555871610645044085485479716 avg_win=0.024473704434804543380496930 avg_loss=0.04779595536814763544157364233 expectancy=-0.01817724233415084084236439138 avg_trade_bars=3.84 open_position=False	2026-02-10 02:57:10.578 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=13 pnl=0.129288249249805025400945548 avg_pnl=0.009945249942292694261611196 avg_bars=5.23 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=35 pnl=-1.685367988253314875896651124 avg_pnl=-0.04815337109295185359704717497 avg_bars=3.49 | tp: n=12 pnl=0.482554361620308559111477702 avg_pnl=0.04021286346835904659262314183 avg_bars=3.25	2026-02-10 02:57:10.579 | INFO     | __main__:main:670 - REASONS | {'be': 13, 'sl': 35, 'tp': 12, 'signal': 1}
0.9	0.25	0.0	2026-02-10 02:57:16.377 | INFO     | __main__:main:653 - RESULT | trades=59 wins=18 losses=41 winrate=30.51% pnl_total=-0.989892145805808243173862338 max_dd=1.039333840436392461550694433 pf=0.4173708061461817415582618455 avg_win=0.03939537142349274342862460861 avg_loss=0.04143923979094335670461232422 expectancy=-0.01677783297975946174870953115 avg_trade_bars=4.24 open_position=False	2026-02-10 02:57:16.376 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=1E-27 avg_pnl=1.428571428571428571428571429E-28 avg_bars=5.00 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722426428677624889105292 avg_pnl=-0.04893301254201993014379721447 avg_bars=3.71 | tp: n=17 pnl=0.709116685622869381715242953 avg_pnl=0.041712746213109963630308409 avg_bars=4.94	2026-02-10 02:57:16.377 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.25	0.1	2026-02-10 02:57:22.333 | INFO     | __main__:main:653 - RESULT | trades=59 wins=24 losses=35 winrate=40.68% pnl_total=-0.970235168909573836158642381 max_dd=1.026715365439656395901464689 pf=0.4289404793183365171322549901 avg_win=0.03036556927162932453043595462 avg_loss=0.04854310946939078928254586549 expectancy=-0.01644466387982328535862105731 avg_trade_bars=4.24 open_position=False	2026-02-10 02:57:22.332 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.019656976896234407015219958 avg_pnl=0.002808139556604915287888565429 avg_bars=5.00 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722426428677624889105292 avg_pnl=-0.04893301254201993014379721447 avg_bars=3.71 | tp: n=17 pnl=0.709116685622869381715242953 avg_pnl=0.041712746213109963630308409 avg_bars=4.94	2026-02-10 02:57:22.333 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.25	0.2	2026-02-10 02:57:28.020 | INFO     | __main__:main:653 - RESULT | trades=59 wins=24 losses=35 winrate=40.68% pnl_total=-0.950736235480420342776762089 max_dd=1.014254933910001243885574615 pf=0.4404170263765823328080957812 avg_win=0.03117801153087940728911727621 avg_loss=0.0485431003491864605061593348 expectancy=-0.01611417348271898886062308625 avg_trade_bars=4.19 open_position=False	2026-02-10 02:57:28.019 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.039155677036099169509324429 avg_pnl=0.005593668148014167072760632714 avg_bars=4.57 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722107221526117715576718 avg_pnl=-0.04893300315357429757986990347 avg_bars=3.71 | tp: n=17 pnl=0.709116599705006605429490200 avg_pnl=0.04171274115911803561349942353 avg_bars=4.94	2026-02-10 02:57:28.020 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.25	0.3	2026-02-10 02:57:34.918 | INFO     | __main__:main:653 - RESULT | trades=59 wins=24 losses=35 winrate=40.68% pnl_total=-0.931158396962370758022099873 max_dd=1.001715597291450000496902616 pf=0.4519401225689908838437099015 avg_win=0.03199375480246480665389486854 avg_loss=0.0485431003491864605061593348 expectancy=-0.01578234571122662301732372666 avg_trade_bars=4.19 open_position=False	2026-02-10 02:57:34.917 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.058733515554148754263986645 avg_pnl=0.008390502222021250609140949286 avg_bars=4.57 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722107221526117715576718 avg_pnl=-0.04893300315357429757986990347 avg_bars=3.71 | tp: n=17 pnl=0.709116599705006605429490200 avg_pnl=0.04171274115911803561349942353 avg_bars=4.94	2026-02-10 02:57:34.918 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.25	0.4	2026-02-10 02:57:40.846 | INFO     | __main__:main:653 - RESULT | trades=59 wins=24 losses=35 winrate=40.68% pnl_total=-0.911580558444321173267437659 max_dd=0.989176260672898757108230619 pf=0.4634632187613994348793240205 avg_win=0.03280949807405020601867246079 avg_loss=0.0485431003491864605061593348 expectancy=-0.01545051793973425717402436710 avg_trade_bars=4.19 open_position=False	2026-02-10 02:57:40.845 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.078311354072198339018648859 avg_pnl=0.01118733629602833414552126557 avg_bars=4.57 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722107221526117715576718 avg_pnl=-0.04893300315357429757986990347 avg_bars=3.71 | tp: n=17 pnl=0.709116599705006605429490200 avg_pnl=0.04171274115911803561349942353 avg_bars=4.94	2026-02-10 02:57:40.846 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.33	0.0	2026-02-10 02:57:47.237 | INFO     | __main__:main:653 - RESULT | trades=59 wins=17 losses=42 winrate=28.81% pnl_total=-0.989892145805808243173862340 max_dd=1.039333840436392461550694433 pf=0.4173708061461817415582618443 avg_win=0.041712746213109963630308409 avg_loss=0.04045259122449232440212155460 expectancy=-0.01677783297975946174870953119 avg_trade_bars=4.24 open_position=False	2026-02-10 02:57:47.237 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=-1E-27 avg_pnl=-1.428571428571428571428571429E-28 avg_bars=5.00 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722426428677624889105292 avg_pnl=-0.04893301254201993014379721447 avg_bars=3.71 | tp: n=17 pnl=0.709116685622869381715242953 avg_pnl=0.041712746213109963630308409 avg_bars=4.94	2026-02-10 02:57:47.238 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.33	0.1	2026-02-10 02:57:52.567 | INFO     | __main__:main:653 - RESULT | trades=59 wins=24 losses=35 winrate=40.68% pnl_total=-0.972287843143902556961128501 max_dd=1.028204959522025249394671593 pf=0.4277323194804605421881912411 avg_win=0.03028004117853229449699903296 avg_loss=0.04854310946939078928254586549 expectancy=-0.01647945496854072130442590680 avg_trade_bars=4.24 open_position=False	2026-02-10 02:57:52.566 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.017604302661905686212733838 avg_pnl=0.002514900380272240887533405429 avg_bars=5.00 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722426428677624889105292 avg_pnl=-0.04893301254201993014379721447 avg_bars=3.71 | tp: n=17 pnl=0.709116685622869381715242953 avg_pnl=0.041712746213109963630308409 avg_bars=4.94	2026-02-10 02:57:52.567 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.33	0.2	2026-02-10 02:57:58.483 | INFO     | __main__:main:653 - RESULT | trades=59 wins=24 losses=35 winrate=40.68% pnl_total=-0.954821799354533098169736708 max_dd=1.017214337480194264659990800 pf=0.4380123510352147334677605896 avg_win=0.03100777970279137581441000042 avg_loss=0.0485431003491864605061593348 expectancy=-0.01618342032804293386728367302 avg_trade_bars=4.19 open_position=False	2026-02-10 02:57:58.482 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.035070113161986414116349810 avg_pnl=0.005010016165998059159478544286 avg_bars=4.57 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722107221526117715576718 avg_pnl=-0.04893300315357429757986990347 avg_bars=3.71 | tp: n=17 pnl=0.709116599705006605429490200 avg_pnl=0.04171274115911803561349942353 avg_bars=4.94	2026-02-10 02:57:58.483 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
0.9	0.33	0.3	2026-02-10 02:58:05.568 | INFO     | __main__:main:653 - RESULT | trades=59 wins=24 losses=35 winrate=40.68% pnl_total=-0.937286742773539891111561803 max_dd=1.006154702646739531658526894 pf=0.4483331095569394848332071131 avg_win=0.03173840706033275944183395479 avg_loss=0.0485431003491864605061593348 expectancy=-0.01588621597921254052731460683 avg_trade_bars=4.19 open_position=False	2026-02-10 02:58:05.567 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.052605169742979621174524715 avg_pnl=0.007515024248997088739217816429 avg_bars=4.57 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=34 pnl=-1.663722107221526117715576718 avg_pnl=-0.04893300315357429757986990347 avg_bars=3.71 | tp: n=17 pnl=0.709116599705006605429490200 avg_pnl=0.04171274115911803561349942353 avg_bars=4.94	2026-02-10 02:58:05.569 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 17, 'signal': 1, 'be': 7}
