pnl_total	be_trigger_mult	partial_frac	lock_atr_mult	adx_min	atr_min_pct	breakout_min_delta	trades	winrate	max_dd	pf
-0.861759335780317208947845239	1.0	0.25	0.4	15	0.0015	0.0006	58	41.38%	0.939355038008894792788638199	0.4775635618278940082885519963
-0.869969677670784821520465237	1.0	0.33	0.4	15	0.0015	0.0006	58	41.38%	0.945313059291522936124141327	0.4725860912101290974853770482
-0.881475303276105284138890598	1.0	0.25	0.3	15	0.0015	0.0006	58	41.38%	0.952032503605184526613693341	0.4656302611953995731090687038
-0.887633059693955993568355620	1.0	0.33	0.3	15	0.0015	0.0006	58	41.38%	0.956501019567155634115320711	0.4618972936619932021061388731
-0.901133057823058963267894840	1.0	0.25	0.2	15	0.0015	0.0006	58	41.38%	0.964651756252639864376707366	0.4537132617967544258106248379
-0.905238032943587674849679900	1.0	0.33	0.2	15	0.0015	0.0006	58	41.38%	0.967630571069248841339933992	0.4512247353249629235565645786
-0.911580558444321173267437659	0.9	0.25	0.4	15	0.0015	0.0006	59	40.68%	0.989176260672898757108230619	0.4634632187613994348793240205
-0.919751686192546684053386901	0.9	0.33	0.4	15	0.0015	0.0006	59	40.68%	0.995095067813284798657062991	0.4586538680786642361986536349
-0.920788541326778450190366078	1.0	0.25	0.1	15	0.0015	0.0006	58	41.38%	0.977268737856861009933188386	0.4417976741065256917452776174
-0.922841028887042805981258607	1.0	0.33	0.1	15	0.0015	0.0006	58	41.38%	0.978758145265165498414801699	0.4405534108706299406182474884
-0.931158396962370758022099873	0.9	0.25	0.3	15	0.0015	0.0006	59	40.68%	1.001715597291450000496902616	0.4519401225689908838437099015
-0.937286742773539891111561803	0.9	0.33	0.3	15	0.0015	0.0006	59	40.68%	1.006154702646739531658526894	0.4483331095569394848332071131
-0.940444024830497937112837314	1.0	0.25	0.0	15	0.0015	0.0006	58	31.03%	0.989885719461082155489669409	0.4298820864162969576799303985
-0.940444024830497937112837316	1.0	0.33	0.0	15	0.0015	0.0006	58	29.31%	0.989885719461082155489669409	0.4298820864162969576799303973
-0.950736235480420342776762089	0.9	0.25	0.2	15	0.0015	0.0006	59	40.68%	1.014254933910001243885574615	0.4404170263765823328080957812
-0.954821799354533098169736708	0.9	0.33	0.2	15	0.0015	0.0006	59	40.68%	1.017214337480194264659990800	0.4380123510352147334677605896
-0.970235168909573836158642381	0.9	0.25	0.1	15	0.0015	0.0006	59	40.68%	1.026715365439656395901464689	0.4289404793183365171322549901
-0.972287843143902556961128501	0.9	0.33	0.1	15	0.0015	0.0006	59	40.68%	1.028204959522025249394671593	0.4277323194804605421881912411
-0.979140500910196521490849212	1.3	0.25	0.2	15	0.0015	0.0006	58	37.93%	1.097826864677496369653959286	0.4462884993729273695745704202
-0.986375343593615617938908727	1.3	0.33	0.2	15	0.0015	0.0006	58	37.93%	1.099517745687415854329864820	0.4421971400681975132896234101
-0.988266401189343633339773188	1.3	0.25	0.1	15	0.0015	0.0006	58	37.93%	1.104590388717174308357581420	0.4411277324212567398866503832
-0.989892145805808243173862338	0.9	0.25	0.0	15	0.0015	0.0006	59	30.51%	1.039333840436392461550694433	0.4173708061461817415582618455
-0.989892145805808243173862340	0.9	0.33	0.0	15	0.0015	0.0006	59	28.81%	1.039333840436392461550694433	0.4173708061461817415582618443
-0.994466813268645453598255789	1.3	0.33	0.1	15	0.0015	0.0006	58	37.93%	1.105435829222134050695534187	0.4376213515967019973029126601
-0.997392301468490745188697170	1.3	0.25	0.0	15	0.0015	0.0006	58	31.03%	1.111353912756852247061203556	0.4359669654695861101987303428
-1.002558282943675289257602856	1.3	0.33	0.0	15	0.0015	0.0006	58	31.03%	1.111353912756852247061203556	0.4330455631252064813162019072
-1.006145570495236836377214293	1.3	0.25	0.4	15	0.0015	0.0006	58	37.93%	1.084248295482868178191230659	0.4309863848963403780428686309
-1.011821141236729175868933294	1.3	0.33	0.4	15	0.0015	0.0006	58	37.93%	1.087630057502707147543041695	0.4277766336236656625535312584
-1.020136947483327712015209907	1.3	0.25	0.3	15	0.0015	0.0006	58	37.93%	1.091071520215792272142013880	0.4230932532039096275402093286
-1.024393625539446966633999183	1.3	0.33	0.3	15	0.0015	0.0006	58	37.93%	1.093607841730671499155872180	0.4206860212184666151900306378
-1.094722479134474278668111099	0.6	0.25	0.4	15	0.0015	0.0006	61	40.98%	1.146692265998267281054676328	0.3637755010960477356675964491
-1.108811782383201291384227874	0.6	0.33	0.4	15	0.0015	0.0006	61	40.98%	1.157878778280883831804358883	0.3555871610645044085485479716
-1.130566867259107288197376678	0.6	0.25	0.3	15	0.0015	0.0006	61	40.98%	1.173465432353805096938834969	0.3429436662632196908820285150
-1.141133844695652547734464259	0.6	0.33	0.3	15	0.0015	0.0006	61	40.98%	1.181855316565767510001096884	0.3368024112395621955427421570
-1.166411255383740297726642258	0.6	0.25	0.2	15	0.0015	0.0006	61	40.98%	1.200238598709342912822993611	0.3221118314303916460964605803
-1.173455907008103804084700646	0.6	0.33	0.2	15	0.0015	0.0006	61	40.98%	1.205831854850651188197834889	0.3180176614146199825369363413
-1.202176742151644097082305516	0.6	0.25	0.1	15	0.0015	0.0006	61	40.98%	1.226932863708151518533549930	0.3013259816476589061890669490
-1.205708960291861227514118286	0.6	0.33	0.1	15	0.0015	0.0006	61	40.98%	1.229739384106841033473754145	0.2992731478544301603052995445
-1.238100269008236821560153563	0.6	0.25	0.0	15	0.0015	0.0006	61	22.95%	1.253785168795649049366291041	0.2804481572960063897541299311
-1.238100269008236821560153564	0.6	0.33	0.0	15	0.0015	0.0006	61	22.95%	1.253785168795649049366291040	0.2804481572960063897541299301
